Timestamp,Logo,Website Address,,Source Name,Datasets_Available,Short Site Description,Category(s)- all that apply,Keywords (optional),Link to Data Use Agreement,Link to Dataset Source Page,Type of Datasets,Geography,Time,Price,Formats,General Category,Sub Category,Logo Link,Other - add any notes,Form Filler
6/3/2024 15:14:22,https://drive.google.com/open?id=1IofbqGkTesVaZOewwliauXkjjRvjOL4_,https://www.dati.gov.it/,,Data.gov.it,"63,205","The Dati.gov.it Portal is the national catalog of metadata relating to open data released by public administrations and constitutes the research tool and the access point to the data made available according to the open data paradigm. Dati.gov.it is also the tool with which the Agency for Digital Italy promotes policies for the valorisation of the national public information assets. To this end, the portal makes a series of useful resources available to administrations and developers to delve deeper into the topic of open data, to improve the quality of the data exposed and, ultimately, encourage their reuse","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Financial, Food Supply, Geospatial, Government - Federal, Government - State, Government - city/county, Healthcare, IoT, Legal, Life Science, Manufacturing, Media and Entertainment, Private Business, Public Data, Pubic Sector, Social Media, Technology, Water, Weather, Transportation, University","Environment, Agriculture, Justice, Transport, Economy, Government, Regions, Educations, Health, Population, Power, Technology and Science.",https://www.dati.gov.it/content/italian-open-data-license-v20,https://www.dati.gov.it/home-page,Fixed (typical),"Europe, Italy",Both - most common,Free,"CSV, PDF, JSON, RDF, XML, ZIP, SHP, XLS, KML","Climate, Consumer, Entertainment, Financial, Government, Health, Research, Service Provider, University",Italy,https://www.dati.gov.it/,,
6/3/2024 15:33:41,https://drive.google.com/open?id=1mTKJ_iijaY7proPNn1i9qYweHNT_jSqs,https://www.reprisk.com/,,RepRisk AG,1000,"RepRisk runs the world’s largest, daily updated database on ESG risks with 17+ years of unbroken data history. We combine AI and advanced machine learning with human intelligence to identify material ESG risks on companies, real assets, and countries. RepRisk provides clients and partners with due-diligence grade data and metrics mapped to 102 ESG risk factors and to standards such as UNGC, SASB, SDG, constructed using a transparent rules-based methodology.",Financial,,,,Custom Built,Global,Both - most common,Subscription,,Service Provider,financial,,service provider dealing with ESG data,
6/3/2024 15:55:12,https://drive.google.com/open?id=1fCbq452RUCwoZRdQNvg-Sv-HwswaE1GF,https://european-union.europa.eu/index_en,,Data.Europa,"1,750,895","The Publications Office of the European Union is the official provider of publishing services to all EU institutions, bodies and agencies. As such, it is the central point of access to EU law, and also to publications, data, research results, procurement notices and other official information. The Publication Office therefore plays a central role in informing the public about what the EU does and means for them, and in unlocking the power of data.","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Government - Federal, Government - State, Government - city/county, Life Science, Manufacturing, Media and Entertainment, Ocean - coastline, Private Business, Public Data, Pubic Sector, Social Media, Technology, Water, Weather, Transportation, University","Environment, Agriculture, Justice, Transport, Economy, Government, Regions, Educations, Health, Population, Power, Technology and Science.",https://creativecommons.org/licenses/by/4.0/,https://data.europa.eu/en,Fixed (typical),Europe,Both - most common,Free,"API, CSV, PDF, JSON, RDF, Text, XML, ZIP, HTML, XLSX,ODS, WMS, Word DOC.","Climate, Consumer, Entertainment, Financial, Government, Health, Service Provider, University",European Comission,https://european-union.europa.eu/index_en,,
6/3/2024 16:02:02,https://drive.google.com/open?id=1DcUiJzNLfLYG02Ggmwe-qVg8f9uooOGI,https://www.growthloop.com/,,Flywheel Software,"10,000,000","The Composable CDP that empowers marketers to build segments in a unified audience layer, orchestrate journeys across channels, and measure results directly on their Data Cloud.","Financial, sports",,,,Subscription Service,Global,Both - most common,Subscription,,Service Provider,marketing,https://cdn.prod.website-files.com/6452937893cd84032c81c3c4/645a0f544434ee0a8b9f22fa_GrowthLoop%20Main%20Logo.svg,"Service provider that offers a Customer Data Platform (CDP), enabling businesses to activate and utilize their existing customer data for marketing purposes.",
6/3/2024 16:18:19,https://drive.google.com/open?id=1km5JjCK7MhttJiAhNKw3fl7AmwmYsTkB,https://www.unacast.com/,,"Unacast, Inc",100,"Unacast is a global location intelligence and insights company transforming our understanding of human activity in the physical world. Using state-of-the-art machine learning and artificial intelligence, Unacast extracts valuable information from location data, delivering trustworthy, reliable, and privacy-friendly location intelligence.",location data,,,,Custom Built,Global,Both - most common,Subscription,,Service Provider,identity,https://assets-global.website-files.com/661d3eb71206816721de67f8/661d3eb71206816721de6820_unacast-logo-black-dot_orange-rgb.svg,"Service Provider that has data sets for Foot Traffic, Trade Areas, and Cross-Visitation",
6/3/2024 16:27:32,https://drive.google.com/open?id=1rFXtWm28xHrEt5gcmm4fw0TbXAd5sxHQ,https://visiblealpha.com/,,Visible Alpha,1000,"Visible Alpha is a part of S&P Global, creating a premium offering of fundamental investment research capabilities with S&P Global Market Intelligence’s Capital IQ Pro platform. Visible Alpha’s deep, granular consensus and broker estimates data complements Capital IQ’s broad estimates solution. The combination of our businesses allows us to offer an incredibly comprehensive platform for financial analysis, and our goal remains the same: to help you make more informed decisions while saving time and increasing efficiency.",Financial,,,,Subscription Service,Global,Both - most common,Subscription,,Service Provider,finance,https://visiblealpha.com/wp-content/uploads/2024/05/visible-alpha-sp-logo.png,"service provider that offers insights into companies, analysts, and industries through access to data sets",
6/3/2024 16:32:13,https://drive.google.com/open?id=1vvNVwrXg9Gzj0tLKQu5l3HObTzVtzO2X,https://datos.gob.es/es/,,datos.gob.es,"82,473","Data.gob.es is a meeting point between the different actors that are part of the open data ecosystem: public administrations, infomediaries and users. For this reason, we want to offer you a platform that is useful for all of you, serving as both a location and entry point for the available data, as well as a showcase for the applications and business models that are already working with open data.","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Government - Federal, Government - State, Government - city/county, Legal, Life Science, Manufacturing, Media and Entertainment, News, Ocean - coastline, Private Business, Public Data, Pubic Sector, Social Media, Technology, Water, Weather, Transportation, University, Science and technology, culture and leisure, rural environment, Tourism, Urban planning and infrastructure, Housing, Industry, Sport.",,https://creativecommons.org/licenses/by/4.0/deed.en,https://datos.gob.es/en/catalogo,Fixed (typical),"Europe, Spain",Both - most common,Free,"API, CSV, HML, PDF, JSON, RDF, XML, XLSX, PC-Axis, JPG, XLS, HTML, TSV, KML, WMS, TIFF, PNG, ZIP, SHP,  SDG,  ASCII, Plain, KMZ, RSS, GML, Atom, SPARQL, DWG, N3, DOCX, SCORM, ELP, WFS, Calendar, TURTLE, ECW, ODT, MARC, WCS, Solr, TMX, QGIS, GPX, DXF, RTF","Climate, Consumer, Entertainment, Financial, Government, Health, Service Provider, University",Spain,https://datos.gob.es/es/,,
6/3/2024 16:34:55,https://drive.google.com/open?id=1N8pExNCuueeG0lSE2h9IGuKCc2-jaccC,https://www.xmap.ai/,,xMap,500,"Discover the world through xMap's unique lens of location intelligence, offering comprehensive insights that guide businesses seamlessly to unparalleled growth and market leadership.",Geospatial,,,https://www.xmap.ai/data-catalog,Custom Built,Global,Both - most common,Fixed Price,,,,https://cdn.prod.website-files.com/64e791eb01b64fd53dec4cc7/657aa7af853502406cf71144_logo_2%20-%20logo%20white-p-500.png,Data sets both for free and at a premium. ,
6/3/2024 16:53:30,https://drive.google.com/open?id=1ANirUlRxr5aCd3P4ODvUPSLnO4kBc7jX,https://www.ivolatility.com/,,IVolaility,100,Access Comprehensive Global Coverage for Options and Futures Data.,Financial,,,https://www.ivolatility.com/historical-options-data/,Subscription Service,Global,Historical Data,Subscription,,Financial,,,Subscription service that offers historical options data sets,
6/3/2024 16:54:10,https://drive.google.com/open?id=1xNlpas7q92qLxNL_7zq65WzRHO95FnnZ,https://cybersixgill.com/,,Cybersixgill,0,"Cybersixgill captures, processes and alerts teams to emerging threats, TTPs, IOCs and their exposure to risk as it surfaces on the clear, deep and dark web.","Energy, Financial, Healthcare, Legal, Technology, Gaming","Threat, detection, dark web, cybercrime, protection.",https://cybersixgill.com/terms-of-use,N/A,"Subscription Service, Custom Built",Global,Current Data,Subscription,,Service Provider,"Tech protection, global ",https://a-us.storyblok.com/f/1004411/1000x1000/9dea71c85f/csg-brand-logo.webp/m/1000x1000/filters:focal(),"Categories listed (ie. energy, financial, etc.) are the industries in which this company is mostly used. There are no available datasets online.  ",
6/3/2024 17:00:55,https://drive.google.com/open?id=1SzSaUFRSETiggKM6aInuDEfYlpTE_05b,https://www.data.gouv.fr/fr/,,data.gour.fr,"37,441",data.gouv.fr is the open and community platform which aims to centralize and structure open data in France. It promotes the transparency and effectiveness of public action while facilitating the creation of new services. On this site you will find information in the form of raw digital data. They can be downloaded and used by everyone freely and freely.,"Census Data, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Geospatial, Government - city/county, Healthcare, Legal, Life Science, Manufacturing, Private Business, Public Data, Pubic Sector, Social Media, Technology, Water, Weather, Transportation, University",,https://www.data.gouv.fr/fr/pages/legal/licences/,https://www.data.gouv.fr/fr/datasets/,Fixed (typical),"Europe, France",Both - most common,Free,"CSV, PDF, JSON, Text, XML, zip, 7z, xls, xlsx, doc.","Financial, Government, Health, University, Reference data, Covid-19, Elections, Energies, Geographic data, Culture, Housing and Urban planning, job, Agriculture and food, Security, Public Accounts,  Machine learning.",France,https://www.data.gouv.fr/fr/,,
6/3/2024 17:01:54,https://drive.google.com/open?id=1Bk2vRFHcga_OzwJZ9rNW1RdIEN483fZr,https://www.ninjacat.io/,,NinjaCat,300,"NinjaCat is a digital marketing performance management platform built for agencies, media companies, and brands. Powered by the industry’s most transformational data model for multi-channel digital marketing performance analytics, the NinjaCat platform connects all your marketing data into a single source of truth.","Advertising, Media and Entertainment, Private Business, Social Media, Technology","Marketing, Analytics, Advertising, Reporting, Data Management, Media, Performance Tracking, Metrics, Integration",https://www.ninjacat.io/legal/ninjacat-terms-of-use,https://www.ninjacat.io/integrations,Subscription Service,Global,Both - most common,Subscription,"API, CSV, PDF, JSON, excel",Service Provider,Marketing Analytics,,more information could probably found using a demo,
6/3/2024 17:12:27,https://drive.google.com/open?id=15AAHSHFJjdP7dx0DRJuaCQlOYXlPMHuT,https://www.junglescout.com/,,Jungle Scout,2000,"Jungle Scout provides comprehensive tools and insights for Amazon sellers to help them find profitable products, conduct market research, and optimize their sales performance.","Consumer, Retail and CPG, Technology","E-commerce, Amazon, Product Research, Market Analysis, Sales Analytics, Data Insights, Seller Tools",https://support.junglescout.com/hc/en-us/articles/360035195874-Purchase-Order-Agreements,https://www.junglescout.com/features/supplier-database/,Subscription Service,Global,Current Data,Subscription,"API, CSV, Excel",Service Provider,E-commerce and Amazon Analytics,,time of data may vary on subscription; the data use agreement link is a template; Dataset Source Page needs a subscription to be accessed fully,
6/3/2024 17:23:54,https://drive.google.com/open?id=110lsR47ICmNZ9w8ZbLWnjzLvoidmJ4zW,https://data.gov.ie/,,data.gov.ie,18821,"Data.gov.ie is the central portal which provides access to all governmental open data. It provides easy access to datasets that are free to use, reuse, and redistribute. The portal is operated by the Government Reform Unit in the Department of Public Expenditure and Reform.","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Geospatial, Government - Federal, Government - State, Government - city/county, Healthcare, Legal, Life Science, Manufacturing, Ocean - coastline, Public Data, Pubic Sector, Technology, Water, Weather, Transportation, University",,https://creativecommons.org/licenses/by/4.0/,https://data.gov.ie/dataset,Fixed (typical),"Europe, Ireland",Both - most common,Free,"API, CSV, PDF, JSON, Text, XML, XLSX, PX,  KML, GEOJSON, ZIP, WMX, GML, SHP, ESRI REST, ODS, XLS, WFS, TSV, TIFF, WEBSITE, URL, DBASE, DOC, SHX, WMTS, PRJ.","Climate, Financial, Government, Health, Service Provider, University, Agriculture and food,  Art and culture, Justice and legal system, Regions and cities, Energy, housing, transport, science and technology, population.",Ireland,https://data.gov.ie/,,
6/3/2024 17:31:08,https://drive.google.com/open?id=1VHA3Fyicwg9dPDhO4KKXf7_qL4sLVYKP,https://flipsidecrypto.xyz/,,Flipside,250,"Flipside is the most comprehensive blockchain database available, and we use it to power on-demand analytics, business intelligence, acquisition and retention strategies, painless data access and more, to help you outpace your goals - and your competitors.","Public Data, Technology","Analytics, NFT, cyrpto, blockchain, API",https://flipsidecrypto.xyz/terms,https://flipsidecrypto.xyz/insights/verified-insights,Subscription Service,Global,Current Data,"Free, Subscription",API,Service Provider,Blockchain Data,,Can choose a free subscription or paid with more features. ,
6/3/2024 17:49:54,https://drive.google.com/open?id=1QUo9KAAXdJnBXdqUVgosekDtkWqMkUIw,braze.com,,Braze,50,"No matter where you are in your customer engagement journey, Braze can take you where you want to be. We put all your data, all your channels, and all the power of AI on one platform, so you can put your most engaging customer experiences out into the world. ","Advertising, Consumer","Customer engagement, personalization, marketing, consumer data, sales",https://www.braze.com/company/legal/privacy,N/A,Custom Built,Global,,Subscription,API,Service Provider,Marketing ,,,
6/3/2024 17:55:59,https://drive.google.com/open?id=18dk9uhoKlHrvL_NPAGp3xGXpCapBLNR7,https://statistics.gov.scot/home,,Statistics.gov.stats,315,"statistics.gov.scot provides public access to the data behind our official statistics in linked open data format. We’ll continue to work with our providers to increase the amount of data on the site as well as improve the tools to access this content. This service will evolve through ongoing user feedback and analysis, and we want your feedback to help us do this.","Census Data, Climate, Consumer, Cyber Security, Education, Energy, Environmental, Farming, Financial, Government - Federal, Healthcare, Legal, Life Science, Manufacturing, Pubic Sector, Transportation, University, Housing, geography, Labour force, management information, community, access to services, economy, reference, ",,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,https://statistics.gov.scot/data,Fixed (typical),"Europe, Scotland",Both - most common,Free,CSV,Country Data,Scotland,https://statistics.gov.scot/home,,
6/3/2024 18:09:12,https://drive.google.com/open?id=1ihXauS6fAMRR160eyM8ImCh0sdKfgUtp,https://www.smartmarketdata.com/,,"SmartMarketData, LLC",100,"Unique, Relevant, Credible and Usable Alternative Data & Analytics",Financial,,,,,Global,Historical Data,Free,,Research,,,,
6/3/2024 18:09:13,https://drive.google.com/open?id=1vp8dLq6eqjRPe8SgSag2wILiHOm1xwnd,https://global.weathernews.com/,,weathernews,100,Weathernews provides round-the-clock risk communication services everyday of the year to customers in over fifty countries to help people adversely affected by the weather and other natural disasters.,"Climate, Energy, Environmental, Farming, Ocean - coastline, Weather, Transportation","sea, shipping, aviation, railway, transportation, event management, environment, energy, retail, agriculture, climate, sports",https://global.weathernews.com/privacy-policy/,N/A,Custom Built,Global,Both - most common,,,"Climate, Service Provider",Weather,,,
6/3/2024 18:13:22,https://drive.google.com/open?id=1kTHJJrKuPYqghXKVEm98_ALvS3AERMA-,https://www.facteus.com/,,Facteus,1000,"Facteus is a leading provider of transaction data solutions, specializing in debit and credit card data analysis. Their innovative platforms, Mobius and MIMIC, transform complex data into actionable insights, empowering decision-makers across various industries.",Financial,,,,Subscription Service,Global,Both - most common,Subscription,,Service Provider,,,,
6/3/2024 18:23:02,https://drive.google.com/open?id=1PSfxMwtwKUn35E18EpsqZUq0y68_YKfO,https://data.gov.au/home,,data.gov.au,"9,116","Data.gov.au is the central source of Australian open government data. Anyone can access the anonymised public data published by federal, state and local government agencies.
This data is a national resource that holds considerable value for growing the economy, improving service delivery and transforming policy outcomes. In addition to government data, you can also find publicly-funded research data and datasets from private institutions that are in the public interest.","Census Data, Climate, Consumer, Education, Energy, Environmental, Farming, Financial, Government - Federal, Government - State, Government - city/county, Healthcare, Legal, Life Science, Manufacturing, Ocean - coastline, Public Data, Pubic Sector, Water, Weather, Transportation, University, economy, temperature, temperature, IMOS Platform, telecommunications.",,https://creativecommons.org/licenses/by/3.0/au/,https://data.gov.au/data/dataset,Fixed (typical),Australia,Both - most common,Free,"CSV, PDF, JSON, Text, XML, HTML, WMS, ZIP, GEOJSON, WFS, SHP, ZIP, KML, XLS, XLSX, Esri REST, sld, word, plain, SLD, KMZ, tif, DOCX, URL, TAB, api, Shape file, arcgrid, PNG, kml, QGIS, ASC, website link, RSS, sav, GPKG, portable document format.",Country Data,Australia,https://data.gov.au/home,,
6/3/2024 18:26:09,https://drive.google.com/open?id=1VLaMQdr6xcp8QKbNZHNOPwOgYxGAdech,https://veritasdataresearch.com/fact-of-death/,,Veritas Data Research,250,"Founded by experts in the data analytics industry, Veritas uses cutting-edge technology and efficient workflow design to collect, curate, and distribute foundational reference datasets.",Public Data,,,,Custom Built,Global,Both - most common,Subscription,,Service Provider,,https://veritasdataresearch.com/wp-content/uploads/2022/10/Screen-Shot-2022-10-12-at-12.14.06-PM.png,Service provider with millions of Fact of Death records and millions of Cause of Death records,
6/3/2024 18:35:24,https://drive.google.com/open?id=1iqLHSaoBHbSsBp_131yWVwBZ7sJE6uiu,https://www.placer.ai/,,Placer.ai,220,"With accurate data and actionable insights, we empower our customers to better understand the physical world and gain a competitive advantage.",Geospatial,,,https://marketplace.placer.ai/catalogs/applications,Custom Built,Global,Both - most common,Fixed Price,,Service Provider,,,,
6/3/2024 18:58:08,https://drive.google.com/open?id=13FYK8BkF7d3E-TB6mfHAwVXuX2YwRnco,https://www.fourkites.com/,,FourKites,1100,"With the largest supply chain data network on the planet and patented AI, FourKites gives you unprecedented insights, connections and clarity at every point along your global supply chain.",supply chain,,,,Subscription Service,Global,Both - most common,Subscription,,Service Provider,,https://www.fourkites.com/wp-content/uploads/2021/02/FOURKITES_LOGO_DARK.png,a platform that leverages real-time supply chain data and patented AI to offer insights and visibility across the supply chain,
6/3/2024 19:21:13,https://drive.google.com/open?id=1nfOvdtWKiIG-n1PlyKzdebLOIXrJPJgN,https://dados.gov.pt/en/,,Dados.gov,"9,702",The enormous amount of data that is generated and centralized by the Public Administration brings together an enormous potential for use and developments that can be useful and important for both the State and civil society and the business world.,"Census Data, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Government - Federal, Government - State, Government - city/county, Healthcare, Legal, Manufacturing, Public Data, Pubic Sector, Technology, Water, Transportation, University, population and society,  Tourism, culture and sport, Territory",,https://creativecommons.org/licenses/by/4.0/legalcode,https://dados.gov.pt/en/datasets/,Fixed (typical),"Europe, Portugal",Both - most common,Free,"CSV, PDF, JSON, RDF, Text, XML, ZIP, GeoJSON, XLS, XLSX, JPG.",Country Data,Portugal,https://dados.gov.pt/en/,,
6/3/2024 19:44:05,https://drive.google.com/open?id=1DbsCbpqu58IoSHFGaLIHWixRl-gP--xM,https://opendata.swiss/en,,Opendata.swiss,"11,827","opendata.swiss is the Swiss public administration’s central portal for open government data. A centralised and reliable tool, the opendata.swiss website offers easy access to the public data of the Confederation, cantons and communes. Where in the public interest, it also keeps a record of third party data – parastate enterprises or private stakeholders carrying out tasks on behalf of the Confederation, cantons or communes – even if the data in question have already been recorded on other websites.","Census Data, Cyber Security, Education, Energy, Environmental, Farming, Financial, Food Supply, Government - Federal, Government - State, Government - city/county, Legal, Life Science, Public Data, Pubic Sector, Technology, Transportation, University, international issues, regions and cities, provisional data, sport and culture, public safety, population and society.",,https://www.gnu.org/licenses/agpl-3.0.en.html,https://opendata.swiss/en/dataset,Fixed (typical),"Europe, Switzerland",Both - most common,Free,"API, CSV, PDF, JSON, RDF, XML, SERVICE, HTML, WMS, XLS, N/A, WFS, ZIP, JSON-LD, RDF Turtle, N3, WMTS, GPKG, DXT, TXT, SHP, KML, ODS, INTERLIS, GeoTIFF, SPARQL, TIFF, GDB, PNG, GeoJSON, KMZ, YAML.",Country Data,Switzerland,https://opendata.swiss/en,,
